00:00:00.000226 main     VirtualBox XPCOM Server 7.0.20 r163906 linux.amd64 (Jul 16 2024 16:28:23) release log
00:00:00.000228 main     Log opened 2024-08-01T20:23:30.074672000Z
00:00:00.000228 main     Build Type: release
00:00:00.000230 main     OS Product: Linux
00:00:00.000230 main     OS Release: 6.10.2-2-cachyos
00:00:00.000231 main     OS Version: #1 SMP PREEMPT_DYNAMIC Sat, 27 Jul 2024 14:57:46 +0000
00:00:00.000244 main     DMI Product Name: System Product Name
00:00:00.000251 main     DMI Product Version: System Version
00:00:00.000255 main     Firmware type: UEFI
00:00:00.000358 main     Secure Boot: Disabled
00:00:00.000392 main     Host RAM: 32008MB (31.2GB) total, 29408MB (28.7GB) available
00:00:00.000394 main     Executable: /usr/lib/virtualbox/VBoxSVC
00:00:00.000394 main     Process ID: 2238
00:00:00.000395 main     Package type: LINUX_64BITS_GENERIC (OSE)
00:00:00.001155 main     IPC socket path: /tmp/.vbox-dan-ipc/ipcd
00:00:00.104933 nspr-2   VirtualBox: object creation starts
00:00:00.105010 nspr-2   Home directory: '/home/dan/.config/VirtualBox'
00:00:00.105192 nspr-2   Loading settings file "/home/dan/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:00:00.107111 nspr-2   Successfully initialised host USB using sysfs
00:00:00.114710 nspr-2   NetIfAdpCtlOut: VBoxNetAdpCtl: Error while retrieving link speed for wlan0: VBoxNetAdpCtl: ioctl failed: Operation not supported
00:00:00.115485 nspr-2   HostDnsMonitor: initializing
00:00:00.115604 nspr-2   NAT: resolv.conf: nameserver 192.168.1.254
00:00:00.115613 nspr-2   NAT: resolv.conf: FIXME: ignoring IPv6 zone %wlan0
00:00:00.115617 nspr-2   NAT: resolv.conf: nameserver fe80::7297:41ff:fe16:5415
00:00:00.115628 nspr-2   HostDnsMonitor: updating information
00:00:00.115636 nspr-2   HostDnsMonitor: old information
00:00:00.115640 nspr-2     no server entries
00:00:00.115644 nspr-2     no domain set
00:00:00.115647 nspr-2     no search string entries
00:00:00.115688 nspr-2   HostDnsMonitor: new information
00:00:00.115691 nspr-2     server 1: 192.168.1.254
00:00:00.115695 nspr-2     server 2: fe80::7297:41ff:fe16:5415%wlan0
00:00:00.115699 nspr-2     domain: home
00:00:00.115703 nspr-2     search string 1: home
00:00:00.116736 nspr-2   VD: VDInit finished with VINF_SUCCESS
00:00:00.116806 nspr-2   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={aac6c7cb-a371-4c58-ab51-0616896b2f2c} aComponent={SystemPropertiesWrap} aText={Cannot determine default Guest Additions ISO location. Most likely they are not available}, preserve=false aResultDetail=0
00:00:00.117304 nspr-2   VirtualBox: object created
00:00:01.506704 nspr-2   Saving settings file "/home/dan/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:00:01.509032 nspr-2   Finished saving settings file "/home/dan/.config/VirtualBox/VirtualBox.xml"
00:00:02.631136 nspr-4   Saving settings file "/home/dan/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:00:02.633401 nspr-4   Finished saving settings file "/home/dan/.config/VirtualBox/VirtualBox.xml"
00:00:03.146922 nspr-4   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={aac6c7cb-a371-4c58-ab51-0616896b2f2c} aComponent={SystemPropertiesWrap} aText={Cannot determine default Guest Additions ISO location. Most likely they are not available}, preserve=false aResultDetail=0
00:00:03.732535 nspr-4   Saving settings file "/home/dan/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:00:03.734847 nspr-4   Finished saving settings file "/home/dan/.config/VirtualBox/VirtualBox.xml"
00:00:16.348774 nspr-4   Unattended: sources/idwbinfo.txt: Unknown: BuildBranch=ni_release
00:00:16.359528 nspr-4   Saving settings file "/home/dan/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:00:16.361587 nspr-4   Finished saving settings file "/home/dan/.config/VirtualBox/VirtualBox.xml"
00:00:16.362820 nspr-2   Saving settings file "/home/dan/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:00:16.364798 nspr-2   Finished saving settings file "/home/dan/.config/VirtualBox/VirtualBox.xml"
00:00:47.573905 createBase Saving settings file "/home/dan/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:00:47.576496 createBase Finished saving settings file "/home/dan/.config/VirtualBox/VirtualBox.xml"
00:00:47.591830 nspr-4   Saving settings file "/home/dan/VirtualBox VMs/win11-vm/win11-vm.vbox" with version "1.19-linux"
00:00:47.599777 nspr-4   Finished saving settings file "/home/dan/VirtualBox VMs/win11-vm/win11-vm.vbox"
00:00:47.599834 nspr-4   Saving settings file "/home/dan/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:00:47.601748 nspr-4   Finished saving settings file "/home/dan/.config/VirtualBox/VirtualBox.xml"
00:00:47.604268 nspr-5   Saving settings file "/home/dan/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:00:47.606042 nspr-5   Finished saving settings file "/home/dan/.config/VirtualBox/VirtualBox.xml"
00:00:47.607028 nspr-5   Saving settings file "/home/dan/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:00:47.608839 nspr-5   Finished saving settings file "/home/dan/.config/VirtualBox/VirtualBox.xml"
00:00:47.609071 nspr-4   Saving settings file "/home/dan/VirtualBox VMs/win11-vm/win11-vm.vbox" with version "1.19-linux"
00:00:47.610928 nspr-4   Finished saving settings file "/home/dan/VirtualBox VMs/win11-vm/win11-vm.vbox"
00:00:47.625599 nspr-5   Saving settings file "/home/dan/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:00:47.627420 nspr-5   Finished saving settings file "/home/dan/.config/VirtualBox/VirtualBox.xml"
00:00:47.971827 nspr-3   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The machine is not mutable (state is PoweredOff)}, preserve=false aResultDetail=0
00:00:49.335563 nspr-5   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine.}, preserve=false aResultDetail=0
00:00:49.347110 nspr-2   NetIfAdpCtlOut: VBoxNetAdpCtl: Error while retrieving link speed for wlan0: VBoxNetAdpCtl: ioctl failed: Operation not supported
00:00:49.354130 nspr-2   NetIfAdpCtlOut: VBoxNetAdpCtl: Error while retrieving link speed for wlan0: VBoxNetAdpCtl: ioctl failed: Operation not supported
00:00:49.460753 nspr-2   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The machine is not mutable (state is PoweredOff)}, preserve=false aResultDetail=0
00:01:03.559666 nspr-2   Saving settings file "/home/dan/VirtualBox VMs/win11-vm/win11-vm.vbox" with version "1.19-linux"
00:01:03.562148 nspr-2   Finished saving settings file "/home/dan/VirtualBox VMs/win11-vm/win11-vm.vbox"
